Subject,Number,Description
RST,120,"This course focuses on the study of recreation behaviors in different environments—the great outdoors, cities, and specialized settings. In particular, students develop a deeper understanding of how these three different environments support or limit various recreation behaviors. The course employs a holistic definition of environment that includes physical settings, social norms, and policies, all of which impact recreation behaviors. To understand the complex relationships between environments and recreation, the course applies theories and methodologies developed in the field of environment and behavior—spanning psychology, sociology, urban planning, and landscape architecture. Throughout the course, students discuss how gender, race-ethnicity, and socio-economic status can contribute to shaping the relationships between environments and recreation behaviors."
RST,130,"Examines career opportunities within the sport industry and provides knowledge relevant to the management, marketing, legal, and financial operations of sport organizations. Incorporates applications in a variety of sport entities including intercollegiate athletics, campus recreation, event and facility management, professional sport, management and marketing agencies, and international sport."
RST,140,"Origins of the nature and wilderness preservation movements; philosophy behind nature conservation and outdoor activities; role of parks, outdoor recreation, and nature-tourism in contemporary life."
RST,150,"Survey of travel and tourism with emphasis upon tourist behavior, motivations, preferences, decision-making, attractions, transportation services, facilities and information sources. Examines travel and tourism as an element of leisure service delivery from an interdisciplinary perspective."
RST,180,"This course examines elements of administration, programming, and facility planning and management to high profile recreation, sport, and tourism destinations. The course consists of 6 modules completed during the second 8 weeks and concludes with a 12-day domestic tour (offered in May/early June) of RST related destinations in Indiana, Ohio, New York, Massachusetts, and Pennsylvania. The course will provide students with a unique opportunity to engage with industry leaders at the destinations. The course allows students to explore, discuss, compare and contrast RST destinations, facilities, and professions and apply concepts from the classroom. Additional fees may apply. See Class Schedule."
RST,199,"Covering various topics for undergraduates in Recreation, Sport & Tourism. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated as topics vary."
RST,200,Leadership theories and practices as related to design and delivery of leisure programs. Processes of group development and interpersonal communication in leisure service organizations.
RST,205,"For more than 120 years THE BIG TEN has set the standard for college sports. This course will take an historical review of the important decisions and policies conference leaders have made to shape and define the league. With insights and analyses from Big Ten executives, the course will critically examine factors and variables that led to the Rose Bowl partnership, conference expansion, the Big Ten Network, and bold initiatives in growing women's sports. Prerequisite: RST 130 recommended but not required."
RST,210,"This course will introduce students to management issues in the field of recreation, sport, and tourism. Students will be encouraged to begin thinking like a manager and to develop skills related to using management techniques and theories to solve problems that arise in the RST industry. The course will address foundational concepts related to: 1) the RST industry (e.g., sectoral differences, organizational structures and types); 2) management of RST organizations (e.g., leadership, ethics, management theory); and 3) skills to effectively manage human, financial, and marketing resources. This course is intended to prepare students for more advanced courses related to management in RST."
RST,216,"Assist students in understanding technological advances in recreation, sport and tourism behavior and management through virtual reality (VR) demonstrations and class debates; discuss technology adoption rates in eastern and western cultures and contexts by examining global trends in technology innovations; and critiquing technology’s impacts on personal lives, experiences, and worldviews."
RST,217,"Course examines the public sector and its role in the provision of local park and recreation services. Students will explore its philosophical foundations, organizational structure, policy-making process, and the administrative tasks of public recreation providers."
RST,218,"In-depth study of the delivery of leisure services in the for-profit sector. Covers the scope and administrative functions of recreation enterprises, including an analysis of planning, controlling, and developing recreation enterprises."
RST,230,"Course is designed to increase awareness and knowledge of the needs of members of ethnic and racial minorities, people of lower socio-economic status, women, older adults, people of alternative lifestyles, and people with disabilities when it comes to recreation, sport, and tourism services. It introduces students to concepts and factors that influence the delivery of recreation, sport, and tourism services to diverse populations. Same as HDFS 263."
RST,240,"This course examines financial concepts in the RST industry across public, private, for-profit, and not-for-profit sectors. It covers revenue management, pricing strategies, grantsmanship, fundraising, sponsorship, budgeting, and ratio analysis. Prerequisite: RST 100 and RST 210."
RST,242,"Designed to aid in students' understanding, appreciation, and critique of cultural meanings associated with American natural landscapes. To do so, traditional perspectives including colonial American, romantic, and science-based conservation are characterized, as well as revisionist themes aligned with gender, cultural pluralism, and societal meanings of parks and protected areas. Implications of diversity including gender and multicultural meanings toward nature are developed and provide the basis for assessing tenets of contemporary environmental policy and supporting concepts associated with community-based conservation. Same as LA 242 and NRES 242."
RST,255,"Explores ethical issues related to government, recreational sport, sport tourism and travel, journalism and media, education, coaching, and business. Students become familiar with concepts and principles of applied ethics and gain insight in to the complexity of ethical issues in recreation, sport and tourism."
RST,260,"This course explores issues affecting recreation, sport, tourism (RST) opportunities and access for people with physical, sensory, developmental, and cognitive disabilities. With the goal of increasing knowledge and skills necessary to enhance RST opportunities for people with disabilities, this course focuses on exploring disability characteristics and RST service provider strategies for reducing barriers to and providing accommodations for participation."
RST,300,Develops understanding of the process of leisure/recreation programming and the practical aspects of program design and delivery. Prerequisite: RST 100.
RST,301,"Provides an in-depth study of sport brand management. Students will learn how to build and manage brands pursuant to the development of brand equity and how to brand architecture strategies and manage brands over time and across geographic boundaries. Students will apply theories and models of branding to sport branding scenarios and making sound business decisions. Student will gain an understanding of the importance of branding and its impact on consumer behavior. Prerequisite: RST 325 (Marketing in Recreation, Sport and Tourism) or equivalent marketing course or consent of instructor."
RST,316,"This course will examine the impacts of recreation, sport and tourism activities on human development throughout the lifespan. We will discuss how these activities can promote and/or hinder development across the lifespan as well as how development influences individuals' participation in these activities over time. Building on these concepts, we will discuss applications for creating programs, services, and facilities that are appropriate and satisfying for people in different life stages."
RST,320,Application of marketing concepts to the delivery of leisure services. Introduces consumer decision theory analysis. Provides an integrative study of the methods and models for developing and evaluating alternative marketing strategies.
RST,325,Application of marketing concepts to the delivery of leisure services. Introduces consumer decision theory analysis. Provides an integrative study of the methods and models for developing and evaluating alternative marketing strategies.
RST,330,"Examination of contemporary patterns and meanings of leisure in a consumer society. Understanding of the impact of consumption on expressions of identity, gender, social class, race and ethnicity."
RST,335,"Examination of contemporary patterns and meanings of leisure in a consumer society. Understanding of the impact of consumption on expressions of identity, gender, social class, race and ethnicity."
RST,340,"Basic understanding of park operations, facility design, construction, and maintenance practices; staff allocations, job analysis, contract administration, organizational structures. Prerequisite: RST 100."
RST,341,"Studies the outdoor recreational use of lands in the public domain and their planning, concepts, and processes related to planning resource based systems; multiple-use in planning; planning criteria for outdoor recreation facilities. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing; or consent of instructor."
RST,350,"Studies the relationships that exist between tourists, hosts, their respective culture(s), and the cultural environments in which they interact. Studies tourism and its impacts across cultural boundaries, as well as concepts of cultural authenticity, modernity, image creation, social justice, diversity, and representation of social, racial and ethnic groups. Field trip required."
RST,351,"Studies the relationships that exist between tourists, hosts, their respective culture(s), and the cultural environments in which they interact. Studies tourism and its impacts across cultural boundaries, as well as concepts of cultural authenticity, modernity, image creation, social justice, diversity, and representation of social, racial and ethnic groups. Field trip required. Additional fees may apply. See Class Schedule. Prerequisite: Junior or Senior standing."
RST,354,"A study of legal principles and their impact on the sport industry; the course examines the application of different areas of law including tort, contract, constitutional, anti-trust, and intellectual property law to professional, amateur and recreational sport."
RST,360,"Problem-based service learning within recreation, sport and tourism (RST) is utilized to learn integrated marketing and communications (IMC) concepts and develop an IMC plan to solve organizational issues as they relate to RST. IMC concepts within the context of RST addressed in this course include audience analysis, assessing public opinion, message strategy (e.g., promotion, publicity), crisis communication, media relations, image & reputation management, corporate relations, sales, development & fundraising. Prerequisite: RST 210."
RST,370,"Educates students in principles of research design, data collection, measurement, methods of statistical analysis, techniques in summarizing data, and the interpretation and application of research findings to the field of Leisure Studies."
RST,393,"Special projects in research and independent investigation in any phase of health, physical education, recreation, or related areas selected by the student. May be repeated to a maximum of 6 hours. Prerequisite: Junior or senior standing; grade-point average of 3.0; consent of academic advisor, instructor, and head of department."
RST,407,"Introduces students to the basic analytical techniques and quantitative methods that are being used to inform data-driven decisions in the sport industry. Students will discuss and analyze the methods of sport analytic topics, such as player performance, team management, in-game decision making, market research, and data segmentation. To facilitate the teaching and learning process, this class will consist of lectures, discussions, in-class exercises, homework, and individual and team projects. 3 undergraduate hours. 4 graduate hours. Prerequisite: Quantitative Reasoning I course or equivalent."
RST,410,"In this capstone course, students integrate previous knowledge including management, marketing, finance and budgeting, operations, and human resources into the development of management strategies for the recreation, sport and tourism industries. Students acquire in-depth knowledge and critical understanding of the various frameworks in which RST organizations operate (commercial, for-profit, not-for-profit, public) and the associated management processes that align with these frameworks including strategic management, industry and competitive analyses, competitive advantage, internal strategies, and issues pertaining to the social responsibility of RST organizations. 3 undergraduate hours. No graduate credit. Prerequisite: RST 210, RST 240, and RST 325, or consent of instructor."
RST,420,"Concepts, principles, and objectives of supervision; the nature of the supervisory relationship; supervisory functions and processes; identification and application of methods and techniques; organizational and operational patterns of supervision in recreation and park settings. 3 undergraduate hours. No graduate credit."
RST,429,"Provides a capstone experience to encourage critical and creative thinking regarding knowledge students accrued from prior courses. The first eight weeks students will meet as a whole and focus on leisure concepts in general, and the second eight weeks students will focus on their specific concentration, (Sport Management, Tourism, or Community Recreation). 4 undergraduate hours. 4 graduate hours. Prerequisite: RST 120, or RST 130, or RST 150, and senior status."
RST,430,"Provides an overview of sport development and sport for development, and the linkages and intersections between the two concepts. Sport development is concerned with the creation and management of systems designed to optimize participation in sport, and the movement of athletes both vertically and horizontally through the sport system. Sport for development focuses on the use of sport to potentially achieve social change and development outcomes at the individual, community, and societal levels. Invariably, these concepts are linked, and one cannot exist without the other. Each module will take an integrative approach and examine sport development and sport for development concurrently, with focus on practical applications of all concepts. 3 undergraduate hours. No graduate credit. Prerequisite: RST 130 or consent of instructor."
RST,440,"Concepts, principles, and objectives of supervision; the nature of the supervisory relationship; supervisory functions and processes; identification and application of methods and techniques; organizational and operational patterns of supervision in recreation and park settings. 3 undergraduate hours. No graduate credit."
RST,457,Examines tourism destination development process from both applied and conceptual perspectives. Emphasis placed on creating development strategies that evaluate destination potential and consider travel destination choice behavior. Field trip required. Prerequisite: RST 150 or consent of instructor.
RST,460,"This course will analyze event management and draw from the social sciences, finance, the arts, and related professional fields to examine the experiences and attributed meanings of planned events. In addition, students will acquire an in-depth knowledge of the specialized field of event management and become familiar with management techniques and strategies required for successful planning, promotion, implementation and evaluation of events within recreation, sport and tourism contexts. 3 undergraduate hours. No graduate credit. Prerequisite: RST 210, RST 240, RST 325 or consent of instructor."
RST,465,"This course is the second of a two course event capstone series. The first class (RST 460) examines the core basics from idea generation through initial planning stages. This course (RST 465) builds on material covered in the first course and includes an in-depth, thorough, and critical examination of the event experience including the roles of the event manager, event planning strategies, marketing and sponsorship concepts, legal aspects, staff management, budgeting, and evaluation. 3 undergraduate hours. No graduate credit. Prerequisite: RST 460."
RST,480,"Prepares students for the RST Internship (RST 485). Topics include placement requirements and policies, resume preparation, interviewing skills, acquiring letters of application, and the roles and issues of professional practice. 1 undergraduate hour. No graduate credit."
RST,501,"Basic philosophical, historical, and scientific foundations and developments in leisure and recreation; analyses of the significance of leisure in modern societies; critical review of major writings in the field with attention to particular special problem areas and current issues. Prerequisite: RST 100 or equivalent."
RST,503,"Examines methods and techniques of conducting and evaluating leisure research; experimental and survey designs and procedures; data collection, reduction and analysis. Prerequisite: RST 100 or equivalent; RST 370 or equivalent; a course in introductory statistics."
RST,512,"Examines theoretical and technical principles of personnel managers in leisure service agencies; recruitment, training, selection, and evaluation of personnel with special emphasis on applied measurement concepts and legislation related to personnel administration in leisure services. Prerequisite: RST 410 or consent of instructor."
RST,515,"Examines quality service issues and service strategies needed to attain competitive advantage across leisure industries. Using a customer-focused management framework, the course focuses on customer satisfaction and retention, linking service quality, customer lifetime value, profitability segmentation, services mapping, understanding customer expectations and developing service and customer-focused relationship marketing strategies."
RST,516,"Addresses the financial needs of organizations in recreation, sport and tourism. Students are introduced to the terminology and financial measurement tools used by academics and firms in the industry. Current economic issues, revenue streams, and budgeting are emphasized. Students develop the ability to critically assess the financial strengths and vulnerabilities of individual organizations and the field as a whole. An in-depth examination of an organization's internal and external environment in recreation, sport or tourism serves as the capstone."
RST,518,"Analyze special events from theoretical and applied perspectives and draw from the social sciences, management, the arts, and related professional fields to analyze the experience and attributed meanings of planned events. Students will acquire an in-depth knowledge of the specialized field of event management and become familiar with techniques and strategies required for successful planning, promotion, implementation and evaluation of special events within recreation, sport and tourism contexts."
RST,519,"In this capstone module, students integrate previous knowledge, including management, marketing, finance, RST operations and human resources, in the development of business strategy in a competitive setting in recreation, sport and tourism industries. Students acquire in-depth knowledge and critical understanding of the environment in which RST organizations operate, the strategic management process, industry and competitive analysis, strategies to build competitive advantage, managing the internal organization and issues pertaining to the social responsibility of RST organizations. 4 graduate hours. No professional credit. Prerequisite: RST 512, RST 515, RST 516, or consent of instructor."
RST,520,"An analysis of the sport industry with special emphasis given to the role and function of the sport manager. Addresses advanced issues related to organizational theory, finance, marketing, sponsorship, contemporary management and leadership, decision making and strategic planning."
RST,593,"Independent research on special projects. May be repeated. Prerequisite: Open only to students majoring in recreation, sport and tourism."
RST,594,Lecture courses in topics of current interest; specific subject matter will be announced in the Class Schedule. Prerequisite: Will be determined for each section offered and will be indicated in the Class Schedule.
RUSS,115,"Introduction to the culture of Russia and the USSR. Course addresses two central themes. First, the very distinctiveness of Russian culture, and the functions of that notion within Russia and for outsiders; Second, Russia as a cultural space between East and West. We will explore Russian culture through the following, the language(s); foundational narratives of collective memory going back to the medieval times; the cultural impact of colonial subjugation both by and of peoples to the East, South, and West; Russian Orthodoxy's connection with the political and cultural spheres; peak achievements in literature, music, architecture and visual arts. Same as REES 116."
RUSS,122,"A survey of the interactions and intersections between key African American figures and cultural practices, and Russian imperial, Soviet, and post-Soviet culture, in a historical, social, and political context, with emphasis on Russian-sourced cultural transfers that influenced and sometimes shaped the Black American experience and which functioned as the currency and medium of the African American–Russian connection. Same as AFRO 122 and CWL 122."
RUSS,201,"Oral-aural practice, systematic functional grammar, reading, and writing. Prerequisite: RUSS 102 or equivalent."
RUSS,202,"Systematic review of the structure of Russian covered in RUSS 101, RUSS 102, and RUSS 201 through class lectures, drills, and homework exercises. Prerequisite: RUSS 201."
RUSS,220,"Survey of Russian literature in the long 19th century; romanticism, realism, nationalism, orientalism, empire; writers may include Pushkin, Gogol, Lermontov, Pavlova, Turgenev, Dostoevsky, Tolstoy, Chekhov, and others; reading and discussion in English. Same as CWL 227."
RUSS,225,"Major works from 1900 to the present; futurism, modernism, Stalinism, post-modernism, and after; writers may include Mayakovsky, Babel, Olesha, Akhmatova, Bulgakov, Nabokov, Solzhenitsyn, Tolstaya, and others; readings and discussion in English. Same as CWL 249."
RUSS,322,Introduction to the major works of Fyodor Mikhailovich Dostoevsky. No Russian required. Same as CWL 324 and ENGL 322. May be repeated up to 6 credit hours in separate terms. Prerequisite: At least one other college literature course or consent of instructor.
RUSS,323,"Introduction to the major works of Lev Tolstoy. No Russian required. Same as CWL 323 and ENGL 323. May be repeated up to 6 credit hours in separate terms, if topics vary. Prerequisite: One other college literature course or consent of instructor."
SAME,133,"Introduction to the world of Islam. Islamic thought and traditional institutions; historical expansion and evolution of the Islamic world in pre-modern and modern times; state, society and cultures in different world regions; gender issues; artistic expression; family life; language and identity; literary expression; issues in economic development; human rights; Christian-Muslim relations; debates over Sharia vs. secular law. Same as HIST 133. This course can be used to fulfill either Western or Nonwestern general education categories, but not both."
SAME,152,"Discussion of contemporary sociopolitical change and current events in the Middle East. We will explore the background to these events, the factors that are driving them, and the short-term and long-term implications for the region and the world. Course reflects diverse fields of study, including cultural studies, economics, education, history, law, linguistics, literature, media, religion, political science, and sociology. Same as PS 152 and SOC 152."
SBC,500,"This course provides an overview of marketing and brand management: consumer analysis; brand positioning, integration, metrics and value. 2 graduate hours. No professional credit. Prerequisite: Restricted to MS: SBC students."
SBC,501,"Within the context of globalization, the course underscores the importance of understanding consumers' values, attitudes, and behaviors for effective product positioning, brand value and effective marketing communications across borders. Focus on consumer behavior and brand positioning across local, regional, and global contexts. This course is designed to provide students with an advanced understanding of consumer behavior in a global context. 2 graduate hours. No professional credit. Prerequisite: Restricted to MS SBC students."
SBC,502,Examines how new and existing brands look at brand identity and brand building in today’s world. Tools and strategies are shared from start-ups and existing brands on how to maximize the ability to help craft or build a brand. 3 graduate hours. No professional credit. Approved for Letter and S/U grading. Prerequisite: Restricted to MS: SBC Students.
SBC,503,"Explores how cultural, sociological and psychological factors shape consumer behavior. It will provide an overview of the key concepts of the discipline of consumer behavior and enable students to put into practice the new found understanding of consumer behavior to shape branding strategies. 2 graduate hours. No professional credit. Prerequisite: Restricted to MS: SBC students."
SBC,504,"Successful Strategic Brand Communication requires working on a series of projects. This course provides a socio-technical perspective to the management of projects. The technical dimensions deal with needs analysis, work breakdown, scheduling, resource allocation, risk management, and performance tracking and evaluation - within the allocated time frame and cost. The sociocultural dimensions include attributes of sound leadership, formation and management of teams, and managing customer expectations in order to formulate consistent, integrated campaigns across channels. Approved for Letter and S/U grading. Prerequisite: Restricted to MS: SBC students."
SBC,505,"The course will provide an overview of the key qualitative methods used to gain strategic insights into consumer behavior and to provide practice in planning research projects, data collection, and analysis. Approved for Letter and S/U grading. Prerequisite: Restricted to MS: SBC students."
SBC,506,"This course will focus on the method and analysis for consumer insights but also for measuring effectiveness of various promotional strategies and campaign effectiveness. This includes an overview of quantitative research methods with emphasis on analysis and interpretation of data, and application to evaluating effectiveness of promotional strategies. Prerequisite: Restricted to MS: SBC students."
SBC,507,"This course will familiarize students with the topic of marketing communications and promotion management, and will teach students the steps for strategically planning a strategic brand communications campaign. The culmination of this course will be a campaign for a real-world client. 3 graduate hours. No professional credit. Prerequisite: Restricted to MS: SBC students."
SBC,508,"Familiarizes students with the topic of marketing communications and promotion management, and will teach students the steps for strategically planning a strategic brand communications campaign. The culmination of this course will be a campaign for a real-world client. 3 graduate hours. No professional credit. Credit is not given for both SBC 508 and SBC 507. Prerequisite: Restricted to MS: SBC students."
SBC,509,"A brand's image, reputation and presence can be significantly impacted by the rapidly changing digital media ecosystem, mainstream adoptions of AI, automation, immersive technologies, and swift shifts in audience behavior. This course provides an overview of the digital media landscape as well as practical insights for brand managers and marketing communication professionals to strategically leverage different media channels for different audiences and contexts. Focus on the underlying technological affordances of existing digital media platforms and emerging media technologies. 3 graduate hours. No professional credit. Prerequisite: SBC 502, SBC 507. Restricted to MS: SBC students."
SBC,510,"Creating and executing successful messages across communication channels. Explores the development of persuasive messaging through theories of persuasion, consumer-information processing and theories of creativity. The course examines the relationship between creative strategy and creative executions while allowing students to practice creating content for traditional and non-traditional media. Strategic brand communication manages every message and contact point within an organization. Audiences include not only consumers, but employees, stockholders, the media, and others. 3 graduate hours. No professional credit. Students may not earn credit for SBC 510, Messaging Strategy, if credit was earned for SBC 508, Messaging Strategy, prior to Spring 2021. Prerequisite: SBC 507."
SBC,511,"This course will prepare students to utilize data for targeting and building customer and brand relationships, with an emphasis on new and emerging media. The students will get exposure to principles of working with structured data using relational databases and data warehouses. They will understand how to work with unstructured data from the web. They will also get exposure to select data mining methods relevant to data commonly worked on by marketing and communication executives and apply these concepts with cases/exercises during each of these modules. 2 graduate hours. No professional credit. Approved for Letter and S/U grading. Prerequisite: Restricted to MS: SBC student."
SBC,512,"This course serves as a capstone, requiring the student to demonstrate a mastery of knowledge in the primary areas of Strategic Brand Communication. The project is designed to allow the student to demonstrate his/her mastery of strategic brand communication, focused on Creating and Executing a Research Plan; Repositioning Analysis and Strategy; Strategic Brand Communication Strategy & Tactics; Media Strategy & Tactics; Campaign Monitoring and Evaluation. 2 graduate hours. No professional credit. Prerequisite: SBC 511. Restricted to MS: SBC students."
SCAN,101,"First course in the Scandinavian language sequence (usually Swedish). Instruction is by immersion, emphasis is on basic skills: reading, writing, speaking, and aural comprehension."
SCAN,215,"Focuses on the achievements of major Scandinavian writers of prose fiction, from 1850 to today. Explores topics of madness, myth, and murder in literature. All reading, discussion, and writing in English. Same as CWL 215."
SCAN,225,"An introduction to the history, literature, and culture of Scandinavia and the Nordic region, from the Viking age until the modern era (700s-present). Includes discussion of Denmark, Norway, Sweden, Finland, Iceland, Faroe Islands, Svalbard, and Greenland. All readings in English. Same as HIST 254."
SCAN,240,"Study of the Arctic, its peoples and cultures, as imagined in literature, art, history, media and film. This course makes cross-cultural comparisons with accounts by indigenous people and Scandinavian, American, and European visitors to or settlers in to the Arctic. This course includes emphasis on environmental, colonial, and social aspects from theoretical and historical perspectives. Same as CWL 282, EURO 240. See SCAN 240."
SCAN,251,"Studies pre-Christian beliefs of the Germanic peoples as reflected primarily in medieval Icelandic prose and poetry (in translation). Same as CWL 251, MDVL 251, and REL 251."
SCAN,252,"Studies Old Norse-Icelandic literature: kings' sagas, family sagas, mythical-heroic sagas, and romances. Texts and lectures in English. Same as CWL 252 and MDVL 252."
SCAN,490,"Focuses on major Bergman films in a European context, including Bergman's influence on contemporary and later filmmakers. European film history and criticism included, as well as some fiction by Bergman. The course features a research component. Same as MACS 490. 3 undergraduate hours. 4 graduate hours."
SCAN,492,"Represents the breadth and critical importance of contemporary Scandinavian film culture and cinema practices. Significant themes, movements, and production features will be addressed, including transnational and minority filmmaking and the international export of Scandinavian film. Also provides an introduction to contemporary Scandinavian culture. All materials in English. Same as MACS 492."
SCR,115,"Exploration of South Slavic cultures in the historically rich and complex region sometimes referred to as ""the Balkans,"" focusing particularly on those groups found within the successor states of the former Yugoslavia. Critical look at the traditional view of the region as the crossroads or the bridge between East and West, and at the term Balkanization which has become a pejorative term used to characterize fragmented, and self-defeating social systems."
SE,100,"Overview of the engineering profession, the Industrial & Enterprise Systems Engineering Department, and the curricula in Industrial Engineering and Systems Engineering and Design."
SE,101,"Computer-aided design (CAD) software modeling of parts and assemblies. Parametric and non-parametric solid, surface, and wireframe models. Part editing and two-dimensional documentation of models. Planar projection theory, including sketching of perspective, isometric, multiview, auxiliary, and section views. Spatial visualization exercises. Dimensioning guidelines, tolerancing techniques. Team design project. Credit is not given towards graduation for both SE 101 and ME 170."
SE,261,"Important elements and metrics of business and contemporary engineering economics: wealth creation, cash flow diagrams, internal rate of return, net present value, breakeven analysis, companies, corporations, profits, prices, balance sheets, income statements, and the basics of business plan writing. Particular emphasis is given to preparation for the economic analysis component of engineering practice."
SE,310,"Fundamental concepts in the classical and computer-based analysis and design of structural and machine components and assemblies. External loads, internal forces, and displacements in statically determinate and indeterminate configurations: kinematics of linkages, gears, and cams; static forces in machines. Prerequisite: CS 101 or CS 124, TAM 212, and TAM 251. Credit or concurrent enrollment in MATH 257 or MATH 415."
SE,311,Stress-strain conditions; analytical and numerical (CAD) solution techniques; analysis of various engineering materials and configurations as applied to the development and application of design analysis criteria. Prerequisite: SE 310; concurrent registration in SE 312.
SE,312,Preparation for experimental projects; mechanical and electrical instruments; mechanical testing of materials; experimental stress analysis and photoelastic methods. Prerequisite: SE 310; concurrent registration in SE 311.
SE,320,"Fundamental control systems and control systems technology. Sensors, actuators, modeling of physical systems, design and implementation of feedback controllers; operational techniques used in describing, analyzing and designing linear continuous systems; Laplace transforms; response via transfer functions; stability; performance specifications; controller design via transfer functions; frequency response; simple nonlinearities. Credit is not given toward graduation for SE 320 and either AE 353 or ME 340. Prerequisite: CS 101 or CS 124, MATH 285, and TAM 212; credit or concurrent registration in ECE 211."
SE,361,"Understanding emotions in ourselves and others. Assessment and improvement of interpersonal skills and emotional intelligence competencies including self-regulation, motivation, empathetic listening, communication, influence collaboration and cooperation, conflict management, leadership, teamwork, and managing change. Includes one Saturday laboratory session."
SE,400,"Nature and development of the legal system; legal rights and duties important to engineers in their professions; contracts, uniform commercial code and sales of goods, torts, agency, worker's compensation, labor law, property, environmental law, intellectual property. 3 undergraduate hours. 4 graduate hours. Prerequisite: RHET 105."
SE,402,"Computer-aided design, analysis, and prototyping tools used in the produce development process. Principles of computer graphics and geometric modeling, including transformations, coordinate systems, parametric solid modeling, spline curves, and surface modeling. Finite element and kinematics analyses. Rapid prototyping, product dissection, CAD-CAM-CAE operability issues, and CAD collaboration tools. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: SE 101 and SE 311."
SE,410,"Design of basic engineering components: structural members, machine parts, and connections. Principles applied include: material failure (yield, fracture, fatigue); buckling and other instabilities; design reliability; analytical simulation. 3 undergraduate hours. 3 graduate hours. This course is an approved Design Elective in the SE Undergraduate curriculum. Prerequisite: SE 311 and SE 320."
SE,411,"Concepts in engineering design, testing, and management for highly reliable components and systems. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 300."
SE,412,"Nondestructive Evaluation (NDE) principles and the role of NDE in design, manufacturing, and maintenance. Primary Nondestructive Testing and Evaluation (NDT&E) techniques, introduced from the fundamental laws of physics, including visual, ultrasonic, acoustic emission, acousto-ultrasonic, radiology, electro-magnetic, eddy-current, penetrant, thermal, and holographic. Industrial applications of probability of flaw detection, material properties characterization, impact and fatigue damage evaluation, adhesion, etc. Current literature. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 300."
SE,413,"Application of optimization techniques to engineering design problems. Emphasis on problem formulation, including applications in structural, mechanical, and other design domains. Important theoretical results and numerical optimization methods. Matlab programming assignments to develop software for solving nonlinear mathematical programming problems. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: MATH 241 and MATH 257 or MATH 415."
SE,420,"Theory and techniques for control of dynamic processes by digital computer; linear discrete systems, digital filters, sampling signal reconstruction, digital design, state space methods, computers, state estimators, and laboratory techniques. 4 undergraduate hours. 4 graduate hours. Prerequisite: SE 320."
SE,422,Fundamental concepts and analytical methods for analysis and design of robot systems. Laboratory experiments complement theoretical development. Same as ECE 489 and ME 446. 4 undergraduate hours. 4 graduate hours. Prerequisite: SE 320. Recommended: ECE 470.
SE,423,"Mechatronics concepts and practice: computer interfacing of physical devices (sensors, actuators); data acquisition; real time programming and real time control; human-machine interfaces; design principles of mechatronics in manufacturing systems and in consumer systems. 3 undergraduate hours. 3 graduate hours. Prerequisite: SE 320."
SE,424,Design methods; time domain modeling; trajectories and phase plane analysis; similarity transforms; controllability and observability; pole placement and observers; linear quadratic optimal control; Lyapunov stability and describing functions; simulation. 3 undergraduate hours. 3 graduate hours. Prerequisite: SE 320 and MATH 257 or MATH 415.
SE,450,"Rules of thought that transform complex decision situations into simpler ones where the course of action is clear. Practical application of decision analysis in large organizations; methods to generate insights into real-life decision problems, avoid the common pitfalls in decision processes, and overcome the possible barriers to implementing a high-quality decision-making process for individual and organizational decision making; graphical representations of decision problems such as decision diagrams and utility diagrams. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: IE 300."
SE,494,"Senior engineering project - team component. Student teams of three or four, guided by faculty advisors, develop solutions to real-world engineering problems provided by industry-partnering companies, subject to realistic constraints and supported by economic analyses and recommendations for implementation. Prototype solutions fabricated where practical. Multiple reports and presentations throughout the term. Several trips to company typical. Common project grade for all team members. 3 undergraduate hours. No graduate credit. Prerequisite: SE 311, TAM 335, and credit or concurrent enrollment in SE Design Elective; or IE Technical Elective. Must enroll concurrently in SE 495. Must enroll concurrently in SE 495."
SE,495,"Adjunct to SE 494. Senior engineering project -- individual component. Individual grade for each team member. 2 undergraduate hours. No graduate credit. Prerequisite: SE 261, SE 290, IE 300, IE 310, and concurrent registration in SE 494. Must enroll concurrently in SE 494."
SHS,120,"Provides an introduction to the study of the human communication and language capacity and includes an overview of three areas of inquiry: language science, language development in children, and language disability in children."
SHS,121,"This is an introductory course in American Sign Language (ASL). No prior experience with the language is necessary. Students will learn vocabulary, elementary-level grammatical structures, and elements of U.S. Deaf Culture in order to engage in entry-level conversations in ASL. Basic social and communication skills associated with the use of ASL will be emphasized. This course is part of a sequence of courses that will fulfill the foreign language requirement for UIUC undergraduate students. Approved for Letter and S/U grading."
SHS,150,"An introduction to basic and clinical aspects of audition and their relevance to communication processes and communication disabilities from biological, humanistic, and technological perspectives. Communication processes and development are explored within historical, behavioral, and scientific frameworks. Hearing disabilities are described according to prevention etiology, manifestation, evaluation and treatment. The effects of disability on individuals and families across the lifespan are also addressed."
SHS,170,"Examines broad perspectives of theories and information regarding normal and abnormal communication: how speech and language develop, how people hear, how they produce speech and what can go wrong; addresses the impact of speech and hearing science on society, culture, and modern technologies."
